"starsign";"chinese";"moon";"blood";"fingers_crossed";"success"
"Scorpio";"Horse";"Waning (-)";"0+";0;0
"Cancer";"Rabbit";"New ( )";"B+";1;0
"Gemini";"Ox";"Waning (-)";"0+";0;0
"Aquarius";"Ox";"Waning (-)";"0-";1;1
"Pisces";"Horse";"Waxing (+)";"AB-";0;0
"Virgo";"Monkey";"Waning (-)";"B+";0;1
"Saggitarius";"Monkey";"New ( )";"0+";0;1
"Gemini";"Monkey";"Waning (-)";"A-";0;0
"Virgo";"Tiger";"New ( )";"A-";0;1
"Leo";"Rooster";"Waxing (+)";"0+";1;1
"Aquarius";"Ox";"Waning (-)";"A+";0;0
"Libra";"Snake";"Waxing (+)";"A+";0;1
"Aquarius";"Rat";"Waning (-)";"0+";0;0
"Aquarius";"Ox";"Waning (-)";"A+";0;1
"Aquarius";"Dragon";"Waxing (+)";"A+";1;0
"Libra";"Ox";"Waning (-)";"A+";0;0
"Aquarius";"Rooster";"Waning (-)";"0+";0;0
"Saggitarius";"Tiger";"Waning (-)";"0+";0;0
"Carpicorn";"Dragon";"Waxing (+)";"B+";0;1
"Taurus";"Ox";"Waning (-)";"B+";0;1
"Libra";"Rat";"Waning (-)";"0+";1;0
"Cancer";"Rat";"Waxing (+)";"A+";0;0
"Virgo";"Snake";"Full (O)";"A+";1;0
"Saggitarius";"Rooster";"Waxing (+)";"B+";0;1
"Virgo";"Rooster";"Waxing (+)";"0+";1;1
"Gemini";"Rat";"Waning (-)";"A+";0;1
"Cancer";"Dog";"Waxing (+)";"0+";0;1
"Carpicorn";"Tiger";"Waning (-)";"A+";0;0
"Libra";"Dragon";"Waning (-)";"AB+";0;0
"Aquarius";"Snake";"Waning (-)";"0+";1;1
"Gemini";"Dragon";"Waxing (+)";"0+";0;0
"Libra";"Rabbit";"Waning (-)";"A+";0;1
"Aries";"Pig";"Waning (-)";"B+";0;1
"Pisces";"Monkey";"Waning (-)";"A+";0;0
"Pisces";"Pig";"Waning (-)";"A+";0;0
"Cancer";"Pig";"Waning (-)";"A+";0;1
"Gemini";"Monkey";"Waning (-)";"AB-";0;0
"Saggitarius";"Rooster";"New ( )";"0+";1;1
"Virgo";"Tiger";"Waning (-)";"A+";0;0
"Saggitarius";"Horse";"New ( )";"A+";0;0
"Leo";"Dog";"Waning (-)";"A+";0;0
"Cancer";"Ox";"Full (O)";"0+";1;1
"Aquarius";"Rabbit";"Waning (-)";"AB+";1;1
"Gemini";"Snake";"Waxing (+)";"0+";0;0
"Libra";"Horse";"Waning (-)";"0+";0;1
"Scorpio";"Rooster";"Waning (-)";"0+";0;0
"Saggitarius";"Pig";"Waning (-)";"A+";0;1
"Leo";"Dragon";"Waning (-)";"B+";0;0
"Libra";"Ox";"Waxing (+)";"B-";0;0
"Aries";"Horse";"Waxing (+)";"0+";0;0
"Libra";"Dog";"Waxing (+)";"A+";0;1
"Pisces";"Goat";"Waxing (+)";"0+";0;0
"Pisces";"Monkey";"Waxing (+)";"A+";1;1
"Saggitarius";"Rooster";"Waxing (+)";"0+";0;1
"Virgo";"Monkey";"Waning (-)";"A-";0;0
"Gemini";"Goat";"Waning (-)";"A+";1;1
"Aries";"Monkey";"Waning (-)";"0+";0;1
"Leo";"Dragon";"Waning (-)";"A+";0;1
"Taurus";"Snake";"New ( )";"0+";0;1
"Aries";"Ox";"Waxing (+)";"0+";0;1
"Carpicorn";"Goat";"Waxing (+)";"A+";0;1
"Gemini";"Pig";"Waning (-)";"B+";0;0
"Scorpio";"Snake";"Waxing (+)";"0+";0;1
"Aries";"Rooster";"Waning (-)";"B+";0;1
"Saggitarius";"Monkey";"Waxing (+)";"0+";1;1
"Virgo";"Rat";"Waning (-)";"A+";0;1
"Saggitarius";"Dragon";"Waning (-)";"A+";0;0
"Leo";"Monkey";"Waning (-)";"A+";0;1
"Leo";"Monkey";"Waxing (+)";"B+";0;1
"Cancer";"Tiger";"Full (O)";"A+";1;1
"Virgo";"Rat";"Waning (-)";"A-";1;0
"Aries";"Pig";"New ( )";"0+";0;0
"Gemini";"Rabbit";"New ( )";"B+";0;1
"Gemini";"Horse";"Waxing (+)";"0+";1;1
"Gemini";"Dragon";"Waxing (+)";"B+";1;0
"Carpicorn";"Rabbit";"Waxing (+)";"0+";0;0
"Saggitarius";"Dragon";"Waning (-)";"A-";0;1
"Pisces";"Horse";"Waning (-)";"B+";0;0
"Carpicorn";"Pig";"Waning (-)";"A+";1;0
"Carpicorn";"Tiger";"Waxing (+)";"A+";0;1
"Scorpio";"Snake";"New ( )";"B+";1;1
"Saggitarius";"Monkey";"Waxing (+)";"B-";0;1
"Aquarius";"Pig";"Waxing (+)";"0+";0;0
"Aquarius";"Dragon";"Waning (-)";"A+";0;1
"Aries";"Horse";"Full (O)";"A+";0;0
"Libra";"Rabbit";"Waxing (+)";"A+";0;1
"Leo";"Dragon";"Waning (-)";"A+";0;0
"Virgo";"Horse";"Waxing (+)";"A+";1;0
"Taurus";"Dog";"Waning (-)";"A+";0;0
"Cancer";"Monkey";"Waning (-)";"A+";0;0
"Pisces";"Dragon";"Waning (-)";"0+";0;1
"Cancer";"Pig";"Waxing (+)";"0+";0;1
"Cancer";"Dragon";"New ( )";"A+";0;0
"Taurus";"Monkey";"New ( )";"0+";0;0
"Cancer";"Dragon";"New ( )";"A+";1;1
"Carpicorn";"Snake";"Waning (-)";"0-";0;0
"Pisces";"Dog";"Full (O)";"0+";0;0
"Libra";"Rooster";"Waning (-)";"AB+";1;1
"Virgo";"Rat";"Waxing (+)";"B-";0;0
"Cancer";"Dog";"Waxing (+)";"0+";0;0
"Gemini";"Tiger";"Waning (-)";"0+";0;0
"Virgo";"Rooster";"Waxing (+)";"0+";0;1
"Scorpio";"Rabbit";"Waning (-)";"A-";0;0
"Cancer";"Goat";"Waning (-)";"0+";0;0
"Libra";"Tiger";"Waning (-)";"B+";0;1
"Cancer";"Monkey";"Full (O)";"A+";1;1
"Scorpio";"Tiger";"Waning (-)";"A+";0;1
"Virgo";"Dragon";"Waxing (+)";"A+";0;0
"Saggitarius";"Goat";"Waning (-)";"A+";0;0
"Virgo";"Rabbit";"Waxing (+)";"A-";0;0
"Virgo";"Goat";"New ( )";"A-";1;0
"Scorpio";"Goat";"New ( )";"A+";0;1
"Carpicorn";"Snake";"Waning (-)";"0+";0;0
"Cancer";"Rabbit";"Waning (-)";"A+";0;1
"Virgo";"Dragon";"Waning (-)";"0+";1;1
"Leo";"Rooster";"Waxing (+)";"A-";0;1
"Saggitarius";"Rooster";"Waxing (+)";"B-";1;1
"Cancer";"Monkey";"New ( )";"A+";0;0
"Pisces";"Ox";"Waning (-)";"A+";1;1
"Carpicorn";"Rooster";"Waning (-)";"A+";0;1
"Carpicorn";"Pig";"Waning (-)";"A-";1;1
"Saggitarius";"Rooster";"Waning (-)";"0+";0;1
"Virgo";"Goat";"Full (O)";"0+";0;0
"Scorpio";"Dragon";"Full (O)";"A+";0;1
"Pisces";"Dog";"Waning (-)";"B+";0;1
"Scorpio";"Monkey";"Waning (-)";"A-";0;0
"Pisces";"Horse";"Waning (-)";"A-";0;1
"Leo";"Snake";"Waning (-)";"A+";1;0
"Carpicorn";"Goat";"Waxing (+)";"AB+";0;1
"Leo";"Snake";"Waning (-)";"B+";0;0
"Saggitarius";"Snake";"Full (O)";"0+";0;0
"Libra";"Pig";"Waning (-)";"0+";1;1
"Leo";"Dragon";"Waning (-)";"0+";0;1
"Scorpio";"Rooster";"Waning (-)";"0+";0;1
"Pisces";"Pig";"Waning (-)";"A+";0;0
"Pisces";"Snake";"Waxing (+)";"AB+";0;0
"Leo";"Goat";"Waning (-)";"B-";0;0
"Leo";"Horse";"New ( )";"0+";0;0
"Aries";"Tiger";"Waning (-)";"0+";0;1
"Saggitarius";"Monkey";"Waning (-)";"A-";1;1
"Aries";"Monkey";"Waning (-)";"0+";0;1
"Libra";"Rooster";"Waning (-)";"A-";0;1
"Virgo";"Rabbit";"New ( )";"0+";1;0
"Saggitarius";"Snake";"Waning (-)";"0+";0;0
"Gemini";"Ox";"Waxing (+)";"A+";1;0
"Scorpio";"Rabbit";"Waxing (+)";"A+";0;0
"Cancer";"Horse";"Waxing (+)";"0+";0;1
"Aries";"Horse";"Full (O)";"0+";1;0
"Saggitarius";"Horse";"Waning (-)";"0-";1;0
"Scorpio";"Monkey";"Waning (-)";"B+";0;0
"Virgo";"Rooster";"Waning (-)";"A+";0;0
"Pisces";"Tiger";"New ( )";"0+";0;0
"Virgo";"Pig";"Waxing (+)";"B+";0;0
"Leo";"Dog";"Waning (-)";"0+";0;1
"Cancer";"Dog";"Full (O)";"0+";0;0
"Cancer";"Goat";"Full (O)";"B+";1;0
"Libra";"Rabbit";"Waning (-)";"0-";0;0
"Leo";"Dragon";"New ( )";"A+";1;1
"Cancer";"Rooster";"Full (O)";"0+";0;1
"Carpicorn";"Tiger";"Waning (-)";"A+";0;0
"Taurus";"Goat";"Waxing (+)";"A-";1;0
"Carpicorn";"Rooster";"Waxing (+)";"A+";1;0
"Virgo";"Rooster";"Waxing (+)";"A-";0;0
"Virgo";"Rat";"Waning (-)";"AB-";0;1
"Aquarius";"Snake";"Waning (-)";"A+";0;1
"Aries";"Pig";"Waxing (+)";"A+";0;0
"Leo";"Dragon";"Waxing (+)";"AB+";1;1
"Aries";"Rabbit";"Waning (-)";"A+";0;0
"Carpicorn";"Pig";"Waxing (+)";"A+";0;1
"Carpicorn";"Pig";"Waning (-)";"B+";0;1
"Taurus";"Goat";"Waxing (+)";"0+";0;0
"Virgo";"Rooster";"Waning (-)";"A+";0;1
"Libra";"Dog";"Waning (-)";"0+";0;0
"Scorpio";"Tiger";"Full (O)";"A+";0;1
"Carpicorn";"Dragon";"Waxing (+)";"AB+";0;1
"Pisces";"Snake";"New ( )";"0+";0;1
"Saggitarius";"Ox";"Waxing (+)";"AB+";0;1
"Libra";"Rat";"Waning (-)";"0-";0;1
"Scorpio";"Dragon";"Full (O)";"A+";0;1
"Taurus";"Pig";"Waxing (+)";"0+";1;1
"Leo";"Goat";"Waxing (+)";"A+";0;0
"Virgo";"Rabbit";"Waning (-)";"A+";0;1
"Cancer";"Rat";"Waxing (+)";"0+";0;0
"Aquarius";"Dog";"Waning (-)";"0+";0;0
"Gemini";"Horse";"Waning (-)";"0+";0;1
"Aquarius";"Horse";"Waxing (+)";"0+";0;0
"Scorpio";"Ox";"Waxing (+)";"0+";0;1
"Saggitarius";"Pig";"Waning (-)";"0+";0;0
"Cancer";"Dragon";"Waxing (+)";"A+";0;1
"Saggitarius";"Dragon";"Waning (-)";"AB-";0;0
"Leo";"Tiger";"Waning (-)";"B+";1;1
"Carpicorn";"Pig";"Waning (-)";"B+";0;1
"Virgo";"Rooster";"Waxing (+)";"0+";0;0
"Aries";"Rabbit";"Waning (-)";"A+";0;0
"Aries";"Snake";"Waning (-)";"AB+";0;1
"Carpicorn";"Dog";"Full (O)";"A+";0;0
"Leo";"Rooster";"Waxing (+)";"0-";0;0
"Cancer";"Goat";"Full (O)";"AB+";1;1
"Saggitarius";"Dog";"Waxing (+)";"0+";0;1
"Leo";"Goat";"Waning (-)";"AB+";0;1
"Scorpio";"Rabbit";"Waning (-)";"A+";0;0
"Aquarius";"Rooster";"Waxing (+)";"0+";0;1
"Cancer";"Pig";"Waning (-)";"0+";0;1
"Virgo";"Monkey";"Waxing (+)";"0+";0;1
"Libra";"Rabbit";"Waning (-)";"0+";0;0
"Pisces";"Ox";"Waxing (+)";"A+";0;1
"Aries";"Horse";"Waxing (+)";"0+";0;0
"Pisces";"Dragon";"Waxing (+)";"AB+";0;1
"Carpicorn";"Snake";"Waxing (+)";"0+";1;0
"Aries";"Dragon";"Waning (-)";"0+";0;1
"Scorpio";"Ox";"Waning (-)";"0+";0;1
"Scorpio";"Monkey";"Waxing (+)";"0-";0;1
"Virgo";"Snake";"New ( )";"AB+";0;0
"Virgo";"Rooster";"Waning (-)";"0+";0;0
"Taurus";"Ox";"Waxing (+)";"A+";1;1
"Scorpio";"Snake";"Waning (-)";"A-";0;1
"Pisces";"Ox";"New ( )";"0+";0;1
"Taurus";"Tiger";"Waning (-)";"0-";0;0
"Taurus";"Goat";"Waxing (+)";"B+";0;0
"Gemini";"Rat";"Full (O)";"A+";0;1
"Aquarius";"Monkey";"Waning (-)";"A+";0;1
"Carpicorn";"Monkey";"Waxing (+)";"A+";1;1
"Aries";"Dog";"New ( )";"A-";1;0
"Libra";"Tiger";"Waxing (+)";"B-";0;0
"Taurus";"Dragon";"Waning (-)";"0+";0;1
"Saggitarius";"Tiger";"New ( )";"B+";0;1
"Aquarius";"Rooster";"Waxing (+)";"B-";0;1
"Gemini";"Ox";"Waning (-)";"0+";0;1
"Virgo";"Pig";"New ( )";"B+";0;0
"Cancer";"Snake";"Waxing (+)";"0-";0;1
"Taurus";"Dragon";"Waxing (+)";"A+";1;0
"Virgo";"Goat";"Waning (-)";"B+";0;1
"Taurus";"Rooster";"Waning (-)";"0+";0;1
"Cancer";"Pig";"Waxing (+)";"B+";1;1
"Taurus";"Ox";"Full (O)";"AB-";0;1
"Carpicorn";"Monkey";"Waxing (+)";"A+";0;1
"Leo";"Snake";"Waxing (+)";"AB+";0;0
"Gemini";"Ox";"Full (O)";"0+";0;0
"Taurus";"Horse";"Waning (-)";"B+";1;0
"Pisces";"Pig";"Waxing (+)";"0+";0;1
"Aquarius";"Rooster";"Waxing (+)";"B-";0;0
"Aquarius";"Goat";"Waning (-)";"0+";0;0
"Aries";"Rabbit";"Full (O)";"0+";0;0
"Gemini";"Rabbit";"Waxing (+)";"A+";0;1
"Gemini";"Snake";"Waning (-)";"A+";0;1
"Aquarius";"Horse";"Full (O)";"0+";0;1
"Aquarius";"Goat";"Waning (-)";"0+";0;1
"Taurus";"Goat";"Waxing (+)";"A+";1;0
"Aquarius";"Dog";"Waxing (+)";"A-";1;1
"Carpicorn";"Horse";"Waning (-)";"A-";0;1
"Saggitarius";"Dog";"Waxing (+)";"A+";0;1
"Libra";"Tiger";"Waning (-)";"0+";0;0
"Gemini";"Horse";"Waxing (+)";"0-";0;0
"Taurus";"Dragon";"Waning (-)";"A+";0;1
"Libra";"Monkey";"Waxing (+)";"0+";0;1
"Libra";"Snake";"Waxing (+)";"B+";0;0
"Virgo";"Monkey";"Waxing (+)";"0+";1;0
"Libra";"Rabbit";"Waxing (+)";"0+";0;1
"Carpicorn";"Rabbit";"Waxing (+)";"0+";1;1
"Taurus";"Rat";"Waning (-)";"A+";1;0
"Virgo";"Rat";"Waning (-)";"0+";0;1
"Aquarius";"Ox";"Waxing (+)";"A-";1;1
"Pisces";"Goat";"Waxing (+)";"A+";0;1
"Cancer";"Rabbit";"Waning (-)";"A-";1;1
"Virgo";"Rooster";"Waxing (+)";"A+";0;1
"Pisces";"Tiger";"Waning (-)";"0+";0;1
"Pisces";"Tiger";"Waxing (+)";"A+";0;0
"Leo";"Horse";"Waxing (+)";"0+";0;1
"Gemini";"Snake";"Full (O)";"A+";1;1
"Carpicorn";"Rabbit";"Waxing (+)";"0+";1;1
"Gemini";"Horse";"Waxing (+)";"AB+";0;1
"Taurus";"Dog";"Waxing (+)";"0-";0;0
"Aries";"Dog";"Waning (-)";"0+";0;0
"Taurus";"Rooster";"Waxing (+)";"0+";1;1
"Virgo";"Rooster";"Waxing (+)";"A-";0;0
"Pisces";"Rooster";"Full (O)";"A+";0;0
"Saggitarius";"Horse";"Waning (-)";"0+";1;1
"Leo";"Horse";"Waning (-)";"0+";0;1
"Carpicorn";"Rooster";"Waxing (+)";"0+";0;1
"Pisces";"Rabbit";"New ( )";"0+";0;1
"Leo";"Monkey";"Waxing (+)";"A+";0;0
"Libra";"Tiger";"Waxing (+)";"0+";0;1
"Carpicorn";"Pig";"Full (O)";"0+";0;0
"Saggitarius";"Dragon";"New ( )";"0+";1;0
"Saggitarius";"Pig";"Waxing (+)";"B+";0;0
"Aries";"Dragon";"Waxing (+)";"A+";0;1
"Virgo";"Rooster";"Waxing (+)";"A+";0;1
"Gemini";"Dragon";"Waning (-)";"B+";0;0
"Scorpio";"Tiger";"New ( )";"0+";0;1
"Cancer";"Monkey";"Waning (-)";"0+";0;1
"Libra";"Snake";"Waning (-)";"0-";0;1
"Virgo";"Monkey";"Waning (-)";"0+";0;1
"Aries";"Snake";"Waxing (+)";"A+";0;0
"Virgo";"Ox";"Waning (-)";"A+";1;0
"Cancer";"Rat";"Waxing (+)";"0+";0;1
"Saggitarius";"Pig";"Waning (-)";"A+";1;0
"Gemini";"Snake";"Waxing (+)";"A+";0;0
"Aries";"Dragon";"New ( )";"0+";0;0
"Scorpio";"Dragon";"Full (O)";"A+";0;0
"Gemini";"Dog";"Waxing (+)";"A+";0;0
"Saggitarius";"Rat";"Waxing (+)";"0+";0;0
"Aries";"Ox";"Full (O)";"0+";0;1
"Carpicorn";"Rat";"Waxing (+)";"0+";0;1
"Libra";"Monkey";"Waxing (+)";"B+";0;0
"Leo";"Horse";"Waning (-)";"AB+";0;0
"Pisces";"Dragon";"Full (O)";"0+";0;1
"Gemini";"Rooster";"Waning (-)";"B+";0;1
"Cancer";"Tiger";"Waxing (+)";"A+";1;0
"Pisces";"Tiger";"Waning (-)";"0+";0;0
"Leo";"Ox";"Waning (-)";"0+";0;0
"Virgo";"Rooster";"Waning (-)";"0+";0;0
"Aquarius";"Horse";"Waxing (+)";"B+";0;0
"Cancer";"Dragon";"Waning (-)";"0+";0;1
"Taurus";"Ox";"Waning (-)";"0+";0;1
"Virgo";"Horse";"Full (O)";"A+";0;1
"Libra";"Monkey";"Full (O)";"A+";1;1
"Libra";"Rabbit";"Waning (-)";"A-";0;0
"Virgo";"Tiger";"New ( )";"0+";0;0
"Pisces";"Ox";"Waning (-)";"A-";0;0
"Libra";"Tiger";"Full (O)";"0+";0;0
"Scorpio";"Ox";"Waxing (+)";"A+";0;1
"Aries";"Monkey";"Waning (-)";"0+";0;0
"Aquarius";"Dog";"Waxing (+)";"0+";1;1
"Cancer";"Snake";"Waning (-)";"B+";1;0
"Leo";"Tiger";"Full (O)";"0+";0;1
"Aries";"Dragon";"Full (O)";"B+";0;1
"Saggitarius";"Dragon";"Waning (-)";"0+";0;1
"Aquarius";"Horse";"Waning (-)";"A+";0;0
"Virgo";"Rabbit";"Waning (-)";"B+";0;0
"Aquarius";"Snake";"New ( )";"B+";0;1
"Scorpio";"Horse";"Waning (-)";"0-";0;1
"Pisces";"Dog";"Waning (-)";"B+";1;0
"Cancer";"Rooster";"Waxing (+)";"0-";1;1
"Leo";"Pig";"New ( )";"A-";0;1
"Gemini";"Snake";"New ( )";"B+";1;0
"Cancer";"Rabbit";"Waxing (+)";"B+";0;0
"Aries";"Rabbit";"Waxing (+)";"A+";0;1
"Leo";"Horse";"Waxing (+)";"A+";0;0
"Carpicorn";"Rooster";"Waning (-)";"0+";0;0
"Aquarius";"Horse";"Waxing (+)";"0+";0;1
"Gemini";"Goat";"Waning (-)";"A+";0;1
"Cancer";"Snake";"Waxing (+)";"A+";0;0
"Leo";"Rat";"Full (O)";"0+";0;0
"Gemini";"Rabbit";"Waxing (+)";"0+";0;0
"Gemini";"Horse";"Full (O)";"0+";1;0
"Aries";"Pig";"Waxing (+)";"A+";1;1
"Aries";"Pig";"Waning (-)";"0+";1;0
"Gemini";"Dragon";"Waxing (+)";"B+";1;0
"Pisces";"Snake";"Waxing (+)";"0+";0;0
"Scorpio";"Ox";"Waxing (+)";"A+";0;0
"Virgo";"Dog";"Waning (-)";"B+";0;1
"Libra";"Monkey";"Full (O)";"0+";0;1
"Carpicorn";"Goat";"Full (O)";"A+";0;1
"Taurus";"Snake";"Waning (-)";"B+";0;1
"Virgo";"Dragon";"Waning (-)";"0-";0;1
"Carpicorn";"Horse";"Waning (-)";"A+";0;0
"Leo";"Goat";"Waxing (+)";"A+";0;0
"Aquarius";"Goat";"Waxing (+)";"0+";0;0
"Cancer";"Monkey";"Waning (-)";"A+";0;1
"Libra";"Rabbit";"New ( )";"0+";1;1
"Leo";"Rat";"Waxing (+)";"A+";0;0
"Cancer";"Pig";"Waxing (+)";"0+";0;0
"Aries";"Pig";"Waning (-)";"A+";0;0
"Leo";"Dragon";"Waxing (+)";"0-";0;0
"Libra";"Snake";"Waning (-)";"0-";0;0
"Taurus";"Tiger";"Waning (-)";"A+";0;0
"Scorpio";"Horse";"Waning (-)";"A+";0;0
"Saggitarius";"Goat";"Waning (-)";"B+";0;0
"Saggitarius";"Dog";"Waxing (+)";"0+";0;0
"Leo";"Rooster";"Waning (-)";"A+";1;0
"Pisces";"Ox";"Waxing (+)";"A+";0;0
"Saggitarius";"Goat";"New ( )";"A-";0;0
"Leo";"Monkey";"Waning (-)";"B+";0;0
"Virgo";"Goat";"Waxing (+)";"B+";0;0
"Gemini";"Monkey";"Waxing (+)";"0+";1;1
"Pisces";"Rabbit";"Waxing (+)";"B+";0;1
"Aries";"Pig";"Waning (-)";"B-";0;0
"Scorpio";"Rabbit";"New ( )";"A-";0;0
"Leo";"Rooster";"Waxing (+)";"A+";1;1
"Aries";"Dragon";"Waxing (+)";"0+";0;1
"Cancer";"Dog";"Waxing (+)";"0+";0;0
"Saggitarius";"Rabbit";"Waxing (+)";"A+";0;1
"Gemini";"Monkey";"Waning (-)";"A+";0;0
"Libra";"Horse";"Waning (-)";"0+";1;0
"Gemini";"Dog";"Waxing (+)";"0+";0;1
"Gemini";"Rooster";"Waning (-)";"0+";0;1
"Leo";"Rat";"Waxing (+)";"A+";1;0
"Saggitarius";"Dragon";"Waning (-)";"0+";0;1
"Carpicorn";"Goat";"Waning (-)";"A+";0;1
"Gemini";"Rat";"Waning (-)";"0+";0;1
"Pisces";"Dog";"Waxing (+)";"A+";0;0
"Carpicorn";"Monkey";"Waning (-)";"0+";0;0
"Aquarius";"Pig";"Waning (-)";"0+";0;1
"Gemini";"Pig";"Waning (-)";"0+";0;1
"Virgo";"Tiger";"Waning (-)";"A+";0;1
"Carpicorn";"Dragon";"Waning (-)";"A-";0;1
"Scorpio";"Horse";"Waxing (+)";"A-";0;0
"Virgo";"Pig";"Waxing (+)";"0+";1;1
"Cancer";"Snake";"Full (O)";"0+";0;0
"Taurus";"Ox";"Waxing (+)";"A+";1;1
"Cancer";"Rabbit";"Waxing (+)";"0+";1;1
"Pisces";"Dragon";"Waning (-)";"A+";0;1
"Aquarius";"Rabbit";"Waning (-)";"A+";0;0
"Carpicorn";"Tiger";"Waxing (+)";"0+";0;0
"Gemini";"Dragon";"Waning (-)";"0+";0;1
"Gemini";"Ox";"Waxing (+)";"0+";0;0
"Aries";"Dragon";"Full (O)";"0-";1;1
"Libra";"Snake";"Waxing (+)";"A+";0;1
"Libra";"Dog";"Waxing (+)";"A+";0;1
"Gemini";"Snake";"Waxing (+)";"0+";0;0
"Saggitarius";"Dog";"Waxing (+)";"B+";0;0
"Leo";"Dragon";"Waxing (+)";"0+";0;1
"Cancer";"Horse";"Waxing (+)";"A+";0;1
"Carpicorn";"Tiger";"Waxing (+)";"0+";0;0
"Leo";"Goat";"Waning (-)";"B+";0;1
"Aquarius";"Dragon";"Waning (-)";"0+";0;1
"Gemini";"Rat";"Waning (-)";"A-";0;1
"Aquarius";"Rooster";"Waning (-)";"0+";0;0
"Libra";"Tiger";"Full (O)";"0+";1;0
"Aquarius";"Tiger";"Waning (-)";"0+";0;1
"Saggitarius";"Goat";"Waxing (+)";"0+";0;1
"Libra";"Ox";"Waning (-)";"A+";0;1
"Saggitarius";"Rooster";"Waning (-)";"A-";0;0
"Taurus";"Monkey";"Waxing (+)";"A+";0;0
"Cancer";"Monkey";"Waning (-)";"A+";0;0
"Carpicorn";"Monkey";"Waning (-)";"B+";0;1
"Cancer";"Dragon";"Waxing (+)";"A+";0;0
"Aquarius";"Rat";"New ( )";"0-";0;0
"Leo";"Rooster";"Waxing (+)";"A-";0;1
"Carpicorn";"Pig";"Full (O)";"B+";0;0
"Aries";"Horse";"New ( )";"0+";0;1
"Gemini";"Rabbit";"Waxing (+)";"0+";0;0
"Gemini";"Dragon";"Waxing (+)";"A+";0;1
"Carpicorn";"Tiger";"New ( )";"0+";1;0
"Libra";"Horse";"Waxing (+)";"0+";1;0
"Pisces";"Dragon";"Waxing (+)";"0+";0;1
"Aries";"Goat";"Full (O)";"A+";0;0
"Taurus";"Rooster";"Full (O)";"A+";1;1
"Libra";"Goat";"Waning (-)";"0-";0;0
"Carpicorn";"Rooster";"Waning (-)";"A+";0;1
"Gemini";"Pig";"Waning (-)";"0-";1;0
"Aries";"Rooster";"Full (O)";"0+";0;1
"Leo";"Dog";"Waning (-)";"0+";0;0
"Taurus";"Dog";"Waxing (+)";"0+";0;0
"Carpicorn";"Dog";"Waxing (+)";"A+";0;1
